CallSign,ExerciseTime,Latitude,Longitude,Height
SIA777,23,2.2789,103.2148,9448.8
SIA395,23,2.6265,102.316,10668.0
SIA803,23,2.1621,102.4237,10668.0
SIA598,23,2.2022,102.5689,11887.2
SIA367,23,2.5602,102.0219,9448.8
SIA992,23,3.1313,102.3781,11887.2
SIA415,23,2.4751,102.7681,11887.2
SIA912,23,2.1656,103.5384,9448.8
SIA865,23,2.5,102.2114,10668.0
SIA311,23,3.0871,102.1512,11887.2
SIA42,23,3.2299,101.9356,9448.8
SIA266,23,2.4241,101.8047,9448.8
SIA850,23,2.3491,102.2058,10668.0
SIA914,23,2.1564,102.2743,11887.2
SIA489,23,2.5658,102.279,9448.8
SIA524,23,2.8014,102.5039,11887.2
SIA598,24,2.2024,102.5679,11887.2
SIA266,24,2.4234,101.8055,9448.8
SIA42,24,3.2291,101.9363,9448.8
SIA912,24,2.1657,103.5374,9448.8
SIA989,24,2.7147,101.7755,9448.8
SIA524,24,2.8016,102.5049,11887.2
SIA914,24,2.157,102.2735,11887.2
SIA992,24,3.1307,102.3772,11887.2
SIA431,24,2.9691,102.0368,9448.8
SIA777,24,2.2785,103.2138,9448.8
SIA803,24,2.1629,102.4232,10668.0
SIA498,24,2.9494,102.1734,11887.2
SIA865,24,2.5,102.2124,10668.0
SIA850,24,2.3502,102.2058,10668.0
SIA489,24,2.5662,102.278,9448.8
SIA941,24,2.6814,102.931,11887.2
SIA311,24,3.0862,102.1508,11887.2
SIA415,24,2.4741,102.7683,11887.2
SIA367,24,2.561,102.0212,9448.8
SIA395,24,2.626,102.3169,10668.0
SIA415,25,2.4731,102.7685,11887.2
SIA266,25,2.4228,101.8063,9448.8
SIA395,25,2.6254,102.3178,10668.0
SIA498,25,2.9491,102.1744,11887.2
SIA914,25,2.1576,102.2726,11887.2
SIA989,25,2.7137,101.7759,9448.8
SIA367,25,2.5619,102.0205,9448.8
SIA992,25,3.1301,102.3764,11887.2
SIA777,25,2.2781,103.2128,9448.8
SIA524,25,2.8019,102.5059,11887.2
SIA42,25,3.2282,101.9369,9448.8
SIA489,25,2.5666,102.277,9448.8
SIA850,25,2.3512,102.2057,10668.0
SIA912,25,2.1658,103.5363,9448.8
SIA865,25,2.5,102.2135,10668.0
SIA311,25,3.0852,102.1503,11887.2
SIA941,25,2.6805,102.9307,11887.2
SIA598,25,2.2025,102.5668,11887.2
SIA431,25,2.9687,102.0378,9448.8
SIA803,25,2.1638,102.4226,10668.0
SIA803,26,2.1647,102.422,10668.0
SIA941,26,2.6795,102.9303,11887.2
SIA311,26,3.0843,102.1499,11887.2
SIA266,26,2.4221,101.8072,9448.8
SIA489,26,2.5669,102.276,9448.8
SIA42,26,3.2274,101.9376,9448.8
SIA367,26,2.5627,102.0199,9448.8
SIA415,26,2.472,102.7687,11887.2
SIA777,26,2.2777,103.2119,9448.8
SIA989,26,2.7127,101.7763,9448.8
SIA524,26,2.8022,102.5069,11887.2
SIA598,26,2.2026,102.5658,11887.2
SIA395,26,2.6249,102.3188,10668.0
SIA431,26,2.9683,102.0388,9448.8
SIA865,26,2.5,102.2145,10668.0
SIA992,26,3.1295,102.3756,11887.2
SIA498,26,2.9488,102.1754,11887.2
SIA850,26,2.3523,102.2057,10668.0
SIA912,26,2.166,103.5353,9448.8
SIA914,26,2.1583,102.2718,11887.2
SIA489,27,2.5673,102.275,9448.8
SIA912,27,2.1661,103.5342,9448.8
SIA941,27,2.6785,102.93,11887.2
SIA524,27,2.8024,102.5079,11887.2
SIA311,27,3.0833,102.1495,11887.2
SIA42,27,3.2266,101.9383,9448.8
SIA865,27,2.5,102.2155,10668.0
SIA803,27,2.1656,102.4215,10668.0
SIA598,27,2.2027,102.5648,11887.2
SIA431,27,2.9679,102.0398,9448.8
SIA367,27,2.5635,102.0192,9448.8
SIA777,27,2.2773,103.2109,9448.8
SIA850,27,2.3533,102.2056,10668.0
SIA992,27,3.1289,102.3747,11887.2
SIA914,27,2.1589,102.271,11887.2
SIA415,27,2.471,102.7689,11887.2
SIA395,27,2.6244,102.3197,10668.0
SIA498,27,2.9486,102.1764,11887.2
SIA989,27,2.7117,101.7767,9448.8
SIA266,27,2.4215,101.808,9448.8
SIA395,28,2.6239,102.3206,10668.0
SIA865,28,2.5,102.2166,10668.0
SIA992,28,3.1282,102.3739,11887.2
SIA311,28,3.0824,102.1491,11887.2
SIA850,28,2.3543,102.2056,10668.0
SIA489,28,2.5676,102.274,9448.8
SIA989,28,2.7107,101.7771,9448.8
SIA941,28,2.6775,102.9297,11887.2
SIA912,28,2.1663,103.5332,9448.8
SIA524,28,2.8027,102.5089,11887.2
SIA777,28,2.2769,103.2099,9448.8
SIA498,28,2.9483,102.1774,11887.2
SIA803,28,2.1664,102.4209,10668.0
SIA914,28,2.1595,102.2701,11887.2
SIA598,28,2.2028,102.5637,11887.2
SIA266,28,2.4208,101.8088,9448.8
SIA431,28,2.9675,102.0408,9448.8
SIA415,28,2.47,102.7691,11887.2
SIA367,28,2.5643,102.0185,9448.8
SIA42,28,3.2258,101.939,9448.8
SIA367,29,2.5651,102.0178,9448.8
SIA777,29,2.2765,103.2089,9448.8
SIA524,29,2.803,102.5099,11887.2
SIA311,29,3.0814,102.1487,11887.2
SIA912,29,2.1664,103.5321,9448.8
SIA42,29,3.225,101.9396,9448.8
SIA989,29,2.7098,101.7775,9448.8
SIA941,29,2.6766,102.9293,11887.2
SIA489,29,2.568,102.2731,9448.8
SIA598,29,2.2029,102.5627,11887.2
SIA914,29,2.1601,102.2693,11887.2
SIA850,29,2.3554,102.2055,10668.0
SIA865,29,2.5,102.2176,10668.0
SIA803,29,2.1673,102.4203,10668.0
